count,faces,points
78,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[132.9915046352217, 193], [211, 193], [211, 312], [132.9915046352217, 312], [175, 160.1679190332822], [324.4064656376901, 160.1679190332822], [324.4064656376901, 315.2367196537123]]"
79,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[132.59183528935426, 192], [211, 192], [211, 308.60115967174863], [132.59183528935426, 308.60115967174863], [174, 158.37019251298608], [328.4098179813085, 158.37019251298608], [328.4098179813085, 313.44469976457253]]"
80,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[134.39457212700046, 191], [208, 191], [208, 308.41032238625417], [134.39457212700046, 308.41032238625417], [175, 159.57248892458665], [327.6071269459551, 159.57248892458665], [327.6071269459551, 322.06875475663674]]"
81,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[132.19726316235375, 187], [205, 187], [205, 305.1793781593883], [132.19726316235375, 305.1793781593883], [175, 157.16789610138554], [330.64962667099303, 157.16789610138554], [330.64962667099303, 303]]"
82,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[133.19898513645592, 190], [208, 190], [208, 309.7977494521928], [133.19898513645592, 309.7977494521928], [178, 145.15070741222632], [325.200707110558, 145.15070741222632], [325.200707110558, 316.04583650442447]]"
83,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[122.39457212700049, 190], [203.39794737176533, 190], [203.39794737176533, 304.80911685071214], [122.39457212700049, 304.80911685071214], [172, 153.6183254290111], [324.0050972188669, 153.6183254290111], [324.0050972188669, 305.60691216669835]]"
84,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[130.2040594541764, 185], [216, 185], [216, 301.4045698913044], [130.2040594541764, 301.4045698913044], [178, 150.95989305862855], [319.3945721270005, 150.95989305862855], [319.3945721270005, 314.2538624790781]]"
85,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[137, 184], [211, 184], [211, 306], [137, 306], [178, 152.37021544488275], [332.8027368376463, 152.37021544488275], [332.8027368376463, 314.0458365044245]]"
86,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[136.00509721886698, 184.22697636855622], [220.40306749177876, 184.22697636855622], [220.40306749177876, 299.0114591261061], [136.00509721886698, 299.0114591261061], [178, 156.97708174778776], [327.20410525646935, 156.97708174778776], [327.20410525646935, 296]]"
87,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[133.7959176446771, 182], [209, 182], [209, 304.39884032825137], [133.7959176446771, 304.39884032825137], [178, 154.56675936153357], [329.0050972188669, 154.56675936153357], [329.0050972188669, 307.02291825221226]]"
88,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[131.39624829880964, 186], [212.40136841882315, 186], [212.40136841882315, 306.0229182522122], [131.39624829880964, 306.0229182522122], [180, 153.56675936153357], [329.80953312946883, 153.56675936153357], [329.80953312946883, 310.0401069413714]]"
89,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[130.99490278113305, 186], [214, 186], [214, 302.9942704369469], [130.99490278113305, 302.9942704369469], [183, 153.56675936153354], [334.01019443773396, 153.56675936153354], [334.01019443773396, 304.22519173191614]]"
90,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[135.3911739810892, 188], [208, 188], [208, 310.2022505478072], [135.3911739810892, 310.2022505478072], [187, 149.75186708397493], [321.7976396187793, 149.75186708397493], [321.7976396187793, 303.8149152094553]]"
91,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[135, 189], [212, 189], [212, 303], [135, 303], [175, 157.16218947022912], [333.40306749177876, 157.16218947022912], [333.40306749177876, 312.6412666131201]]"
92,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[134.19388791758894, 192], [217.00509721886698, 192], [217.00509721886698, 295.5610527303772], [134.19388791758894, 295.5610527303772], [176, 157.7633262100811], [331.20580432942506, 157.7633262100811], [331.20580432942506, 308.21373260581]]"
93,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[135.19558699054457, 197], [216.80101486354408, 197], [216.80101486354408, 301.9828113108408], [135.19558699054457, 301.9828113108408], [176, 152.9656226216816], [328.8009919623976, 152.9656226216816], [328.8009919623976, 308.24235748917863]]"
94,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[143.20066130826507, 193], [218, 193], [218, 311.42175858046363], [143.20066130826507, 311.42175858046363], [178, 159.5667593615336], [334.80953312946883, 159.5667593615336], [334.80953312946883, 313.6355141181703]]"
95,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[140.1972860635003, 198], [213.8027139364998, 198], [213.8027139364998, 313.0286478152653], [140.1972860635003, 313.0286478152653], [189, 159.1564599071761], [330.2023603812207, 159.1564599071761], [330.2023603812207, 306]]"
96,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[133.99660185408865, 209.0171886891592], [212, 209.0171886891592], [212, 319.1851077224414], [133.99660185408865, 319.1851077224414], [183.79931579058842, 164.3816745709889], [336.80783405651323, 164.3816745709889], [336.80783405651323, 305.4045698913044]]"
97,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[142, 199], [215, 199], [215, 332], [142, 332], [184, 165.5610527303772], [340.4166600754239, 165.5610527303772], [340.4166600754239, 310.5839939144861]]"
98,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[145.1989851364559, 210], [220.00169907295566, 210], [220.00169907295566, 328.0343773783183], [145.1989851364559, 328.0343773783183], [174.20068420941158, 169.19083728549447], [339.8061349835576, 169.19083728549447], [339.8061349835576, 310.9942704369469]]"
99,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[143.1955869905446, 210], [224.6003306541325, 210], [224.6003306541325, 319.78051489924025], [143.1955869905446, 319.78051489924025], [184, 168.56675936153357], [341.215952964866, 168.56675936153357], [341.215952964866, 295.5725118564833]]"
101,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[140.9883192128015, 206.64787999653169], [209.070084723191, 206.64787999653169], [209.070084723191, 361.3408480013873], [140.9883192128015, 361.3408480013873], [381.47517832720314, 325.4844359663574], [411.64233169333636, 325.4844359663574], [381.47517832720314, 327.3295759993063]]"
102,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[204.82065897259062, 168], [344.8461627942403, 168], [344.8461627942403, 341.65251839275606], [204.82065897259062, 341.65251839275606], [141.37607235299566, 173.20430107526883], [245.37618867811878, 173.20430107526883], [141.37607235299566, 372.5274476513865]]"
103,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[190.97079803200378, 199.33521200034684], [343.5014600983998, 199.33521200034684], [343.5014600983998, 331.5028180005203], [190.97079803200378, 331.5028180005203], [148.49853990160022, 168.21269400849735], [322.1817543501314, 168.21269400849735], [148.49853990160022, 375.9943639989595]]"
104,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[205.58030541198966, 218.84366600190756], [342.6686134645331, 218.84366600190756], [342.6686134645331, 329.6422439954912], [205.58030541198966, 329.6422439954912], [143.66569326773347, 169.99436399895953], [305.6744538581323, 169.99436399895953], [143.66569326773347, 386.6760600017342]]"
105,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[285.52990955875543, 140.09451046972268], [346.8291214714328, 140.09451046972268], [346.8291214714328, 349.5274476513865], [285.52990955875543, 349.5274476513865], [139.96580102926188, 217.40860215053763], [171.0257364718959, 217.40860215053763], [139.96580102926188, 381.25919637804185]]"
106,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[286.1671533661332, 149.50281800052022], [343.33430673226655, 149.50281800052022], [343.33430673226655, 334.4971819994798], [286.1671533661332, 334.4971819994798], [140.33722692906616, 206.34648400242781], [172.49853990160017, 206.34648400242781], [140.33722692906616, 390.31266799618487]]"
107,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[318.7364801394792, 152], [345.668613464533, 152], [345.668613464533, 337.79857799358365], [318.7364801394792, 337.79857799358365], [140.33138653546692, 200.84366600190756], [172.65985287413423, 200.84366600190756], [140.33138653546692, 392.1450619960114]]"
108,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[318.1759139565322, 136.99436399895953], [356, 136.99436399895953], [356, 336.011272002081], [318.1759139565322, 336.011272002081], [118.6569326773346, 208.50281800052025], [156.5073004919991, 208.50281800052025], [118.6569326773346, 400.988727997919]]"
109,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[311.16715336613333, 140.02254400416197], [344.00292019679955, 140.02254400416197], [344.00292019679955, 338.12251799184946], [311.16715336613333, 338.12251799184946], [133.33722692906613, 204.3746640076303], [171, 204.3746640076303], [133.33722692906613, 376]]"
110,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[300.66569326773345, 127.31266799618486], [346.6627730709339, 127.31266799618486], [346.6627730709339, 342.8154859967051], [300.66569326773345, 342.8154859967051], [122.3401471258658, 206.87184600711007], [175, 206.87184600711007], [122.3401471258658, 380]]"
111,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[282.1321110045378, 142.53810803780456], [355.67153366133266, 142.53810803780456], [355.67153366133266, 330.7647619873407], [282.1321110045378, 330.7647619873407], [139.66569326773347, 194.32957599930634], [160.83284663386672, 194.32957599930634], [139.66569326773347, 389.4971819994797]]"
112,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[313.33430673226655, 132.49718199947975], [354.67153366133266, 132.49718199947975], [354.67153366133266, 309.8887540102315], [313.33430673226655, 309.8887540102315], [140.33430673226653, 197.5422700078037], [175, 197.5422700078037], [140.33430673226653, 397.67606000173413]]"
113,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[322.237940237879, 132.84930200294806], [352.1700735629329, 132.84930200294806], [352.1700735629329, 322.30703199514437], [322.237940237879, 322.30703199514437], [133.3197057482684, 193.49718199947975], [177.83284663386672, 193.49718199947975], [133.3197057482684, 398.15069799705196]]"
114,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[312.8182456498687, 143.30139599410387], [352.6627730709338, 143.30139599410387], [352.6627730709338, 327.33521200034687], [312.8182456498687, 327.33521200034687], [140.82992643706712, 191.32393999826587], [158.8445274210652, 191.32393999826587], [140.82992643706712, 384.67042400069363]]"
115,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[306.6627730709339, 100.34084800138733], [346.00292019679966, 100.34084800138733], [346.00292019679966, 326.80984999566465], [306.6627730709339, 326.80984999566465], [123, 221.84930200294806], [144.51606108239793, 221.84930200294806], [123, 387]]"
116,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[308.1613129725341, 126.16760600017341], [340.8328466338668, 126.16760600017341], [340.8328466338668, 326.45920402323765], [308.1613129725341, 326.45920402323765], [131.99415960640076, 190.3803000086708], [179, 190.3803000086708], [131.99415960640076, 387.8154859967051]]"
117,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[277.0941484461427, 119.17324200121391], [340.6627730709338, 119.17324200121391], [340.6627730709338, 310.988727997919], [277.0941484461427, 310.988727997919], [135.6627730709338, 203.33521200034681], [163.82992643706712, 203.33521200034681], [135.6627730709338, 394.0056360010405]]"
118,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[295.4985399016001, 109.83239399982659], [338.668613464533, 109.83239399982659], [338.668613464533, 306.6591519986127], [295.4985399016001, 306.6591519986127], [136.1583927757344, 213.69296800485563], [146.34306732266543, 213.69296800485563], [136.1583927757344, 401.6253359923697]]"
119,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[276.48101872080247, 125], [343.16423316933356, 125], [343.16423316933356, 313.6478799965317], [276.48101872080247, 313.6478799965317], [116.67445385813232, 202.67042400069366], [155.67153366133272, 202.67042400069366], [116.67445385813232, 391.9436399895951]]"
120,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[306, 129.85641203502993], [347.8445274210652, 129.85641203502993], [347.8445274210652, 319.67606000173413], [306, 319.67606000173413], [129.66569326773347, 180.66478799965319], [163, 180.66478799965319], [129.66569326773347, 388.0169080031215]]"
121,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[285.6750516154266, 113.85059422750425], [340.09401808824896, 113.85059422750425], [340.09401808824896, 305.0945104697227], [285.6750516154266, 305.0945104697227], [127.90598191175107, 190.75608375778157], [163.8119638235022, 190.75608375778157], [127.90598191175107, 396.228636106395]]"
122,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[307.41093399761144, 99.93531604959682], [351.16423316933367, 99.93531604959682], [351.16423316933367, 313.63097199341024], [307.41093399761144, 313.63097199341024], [128.16423316933364, 192.011272002081], [152.67737405493193, 192.011272002081], [128.16423316933364, 392.6478799965317]]"
123,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[276.34306732266543, 108.34648400242781], [336.33430673226655, 108.34648400242781], [336.33430673226655, 308.82823202982746], [276.34306732266543, 308.82823202982746], [127.66569326773347, 187.31830399722537], [170.75329917172215, 187.31830399722537], [127.66569326773347, 389.3408480013873]]"
124,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[301.33430673226655, 104.66478799965317], [337.99707980320034, 104.66478799965317], [337.99707980320034, 318.1563339980924], [301.33430673226655, 318.1563339980924], [123.33138653546692, 192.49718199947975], [146.51898127919756, 192.49718199947975], [123.33138653546692, 382]]"
125,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[293.66569326773345, 131.01127200208097], [335.33430673226655, 131.01127200208097], [335.33430673226655, 309.8323939998266], [293.66569326773345, 309.8323939998266], [125.66569326773347, 173.1676060001734], [154.838687027466, 173.1676060001734], [125.66569326773347, 387.6253359923697]]"
126,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[212.14537470691758, 117.28013582342956], [331.0341989707381, 117.28013582342956], [331.0341989707381, 322.92076966610074], [212.14537470691758, 322.92076966610074], [113, 203.49688737973966], [145.72652455921857, 203.49688737973966], [113, 376]]"
127,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[306.66569326773356, 93.86621000606954], [344.4985399016002, 93.86621000606954], [344.4985399016002, 310.5028180005203], [306.66569326773356, 310.5028180005203], [123.99123940960115, 197.8154859967051], [142.6861346453308, 197.8154859967051], [123.99123940960115, 390.3352120003468]]"
128,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[290.8328466338668, 116.50845400156075], [329.668613464533, 116.50845400156075], [329.668613464533, 313.8323939998266], [290.8328466338668, 313.8323939998266], [123.49269950800095, 189.32393999826584], [141, 189.32393999826584], [123.49269950800095, 384.5028180005203]]"
129,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[292.1966150004631, 90.62195812110922], [330.31625323548485, 90.62195812110922], [330.31625323548485, 316.0548953027731], [292.1966150004631, 316.0548953027731], [117.4700904412446, 203.40860215053763], [140.56410852949347, 203.40860215053763], [117.4700904412446, 389.92076966610074]]"
130,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[292.4226147848099, 109.90150004335388], [341.01752118079764, 109.90150004335388], [341.01752118079764, 298.95491199167606], [292.4226147848099, 298.95491199167606], [119.99415960640076, 187.67042400069366], [143.01752118079773, 187.67042400069366], [119.99415960640076, 396.3239399982658]]"
131,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[306.4985399016002, 95.01690800312147], [354.4985399016001, 95.01690800312147], [354.4985399016001, 298.47463799531783], [306.4985399016002, 298.47463799531783], [115.1583927757344, 196.85493800398854], [135.52190147599714, 196.85493800398854], [115.1583927757344, 387.1619699991329]]"
132,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[132.4985399016002, 260.86621000606954], [336.19343513732986, 260.86621000606954], [336.19343513732986, 360.4690019942773], [132.4985399016002, 360.4690019942773], [120.82408604346787, 147], [306.9912394096011, 147], [120.82408604346787, 226.50845400156075]]"
133,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[130.02585279701918, 246.74702886247874], [339.69232558848057, 246.74702886247874], [339.69232558848057, 367.89020939445385], [130.02585279701918, 367.89020939445385], [128.2653619173089, 144.08828522920203], [303.53872103296715, 144.08828522920203], [128.2653619173089, 230.10356536502545]]"
134,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[300.8240860434678, 113.31830399722536], [332.86496879866263, 113.31830399722536], [332.86496879866263, 310.5253620046822], [300.8240860434678, 310.5253620046822], [127.1583927757344, 181.84930200294806], [162.57738521519008, 181.84930200294806], [127.1583927757344, 382.8211219977456]]"
135,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[257.4722581304036, 87], [337.6715336613328, 87], [337.6715336613328, 297.3690280065898], [257.4722581304036, 297.3690280065898], [124.15547257893476, 197.50845400156075], [149.68321444853123, 197.50845400156075], [124.15547257893476, 399.8267579987861]]"
136,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[236.5189812791975, 88.67042400069366], [343.32846633866734, 88.67042400069366], [343.32846633866734, 298.80421399462415], [236.5189812791975, 298.80421399462415], [123.66277307093381, 188], [147.85620820826375, 188], [123.66277307093381, 404.1676060001734]]"
137,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[257, 105.67042400069366], [338, 105.67042400069366], [338, 324.44082198907483], [257, 324.44082198907483], [123.48393891760207, 187.65915199861269], [149, 187.65915199861269], [123.48393891760207, 389.8211219977456]]"
138,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[130.78250113971842, 258.45209399115583], [348.16423316933367, 258.45209399115583], [348.16423316933367, 355.16196999913296], [130.78250113971842, 355.16196999913296], [134.00584039359924, 143.5422700078037], [305.023361574397, 143.5422700078037], [134.00584039359924, 279.64224399549124]]"
139,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[228.99123940960118, 110], [331.82700624026745, 110], [331.82700624026745, 285.8211219977456], [228.99123940960118, 285.8211219977456], [116.33430673226655, 183.80421399462412], [163.345987519465, 183.80421399462412], [116.33430673226655, 346.87184600711004]]"
140,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[244.36934909386198, 94.82675799878609], [336.84160722426566, 94.82675799878609], [336.84160722426566, 312.67606000173413], [244.36934909386198, 312.67606000173413], [135.82700624026748, 187.13942599497096], [157.7036558261286, 187.13942599497096], [135.82700624026748, 361.8605740050291]]"
141,"[[0, 1, 2, 3], [0, 4, 5, 1], [4, 0, 3, 6]]","[[277.15839277573446, 73.49154599843926], [340.66569326773345, 73.49154599843926], [340.66569326773345, 292.977455995838], [277.15839277573446, 292.977455995838], [118.50730049199905, 188.01127200208097], [155.49269950800095, 188.01127200208097], [118.50730049199905, 369.67042400069363]]"
